番号,タイトル,時期,布色,布地,ファイル名,模様1,模様2,模様3,模様4,模様5,模様6,模様7,模様8
79,霞に桜と鉄線,後期,藍,木綿,bg79.png,霞,桜,鉄線,雪輪,蝶,牡丹,菊,梅
80,雲形に牡丹,初期,淡紅,木綿,bg80.png,雲,牡丹,,,,,,
81,檜扇に花蔦,中期,白,木綿,bg81.png,檜扇,花蔦,,,,,,
82,蔓草,中期,淡紫,木綿,bg82.png,蔓,,,,,,,
83,桜,初期,淡紅,木綿,bg83.png,桜,,,,,,,
84,流水に沢瀉,初期,白,芭蕉布,bg84.png,沢瀉,葵,,,,,,
85,雪輪に紅型梅竹桜,中期,浅,銅板,bg85.png,雪輪,梅,竹,桜,,,,
86,菊,中期,淡紅,木綿,bg86.png,菊,地紋,,,,,,
87,枝垂桜,末期,藍,木綿,bg87.png,桜,,,,,,,
88,霞に丸紋,晩期,白,木綿,bg88.png,鶴,亀,梅,紅葉,蔦,,,
89,梅に小鳥,晩期,藍,芭蕉布,bg89.png,梅,,,,,,,
90,雲も櫓小鳥,中期,淡紅,木綿,bg90.png,櫓,小鳥,霞,亭,,,,
91,遠山に流水桜,初期,黄,桜,bg91.png,山,流水,,,,,,
